id,bug详情,复现步骤,审核状态,重复情况,提交时间
13,无法正常运行APP重复操作均退出,1使用QQ登陆APP输入验证码后提交2提交之后弹出错误提示停止运行APP点击确认退出,审核通过,0,2015-09-01 21:10:41
14,使用第三方登录无效包括微信QQ微博,点击登录使用第三方登录不管选择哪一个都是出现授权画面后选择品牌快速的闪了一下然后黑屏一闪又回到刚才的登录界面闪得太快黑屏没截到,审核通过,12,2015-09-01 21:13:32
15,无法注册小白用车出现闪退退到登录界面,使用手机号码注册收到验证码后输入验证码点击下一步同样先是选择品牌画面一闪然后黑屏然后回到注册界面,审核通过,18,2015-09-01 21:13:32
16,软件无法注册显示停止运行,本人手机魅蓝note电信版软件安装完成后开始注册填写手机号码后点击获取验证码验证码填写完毕点击下一步到选择品牌页面直接停止运行显示很抱歉小白用车已停止运行,审核通过,18,2015-09-01 21:14:29
17,无法正常运行APP闪退,1使用QQ登陆APP输入验证码后提交2提交之后弹出错误提示停止运行APP点击确认退出,审核通过,0,2015-09-01 21:15:42
18,在输入手机验证码后进入下一步黑屏后结束运行,在输入手机验证码后进入下一步黑屏显示小白用车停止运行,审核通过,3,2015-09-01 21:18:48
19,无法完成注册输入注册验证码后点下一步就提示已停止运行,无法完成注册输入注册验证码后点下一步就提示已停止运行,审核通过,6,2015-09-01 21:19:48
20,闪退无法正常运行APP,1使用手机号注册输入验证码后提交2提交之后弹出错误提示停止运行APP点击确认退出3如果不使用微任务提供的版本打开APP在登陆之前更新APP然后可正常打开APP正常APP的版本是2012,审核通过,0,2015-09-01 21:25:39
21,注册不成功输入注册验证码后点下一步就提示已停止运行,注册不成功输入注册验证码后点下一步就提示已停止运行,审核通过,6,2015-09-01 21:28:47
22,选择QQ登录和手机注册的时候程序停止运行,选择QQ登录和手机注册的时候程序停止运行bug日志截图已经截图上传了,审核通过,19,2015-09-01 21:32:35
23,用QQ号登陆直接显示已停止运行尝试3次结果一样,用QQ号登陆直接显示已停止运行尝试3次结果一样,审核通过,8,2015-09-01 21:47:12
24,不能登录无论用微信还是微博又或者是注册后登录都进不了页面,点击微信登录出现停止应用点击微博登录没有反应点击手机注册也是停止应用,审核通过,19,2015-09-01 21:47:46
25,无法使用微信QQ登录我使用2中方式登录都是点击确认后下2秒就会提示我小白用车停止运行,在百度微任务下载安装打开然后使用微信QQ登陆过都可以登录然后就是进入选择品牌那个页面直接就出现问题了手机型号的红米NOTE1W,审核通过,13,2015-09-01 21:48:14
26,使用第三方登录微信和QQ功能后应用停止运行,安装APP后点击登录使用微信和QQ登录授权成功后提示很抱歉小白用车已停止运行,审核通过,19,2015-09-01 21:50:17
27,使用第三方登录新浪微博功能后没有反应无法登录,安装APP后点击登录使用新浪微博登录授权成功后页面跳转到登录界面无法成功登录,审核通过,19,2015-09-01 21:50:17
28,使用手机号注册小白用车账号收入手机号和验证码后点击下一步提示很抱歉小白用车已停止运行,安装APP后点击注册使用手机号注册小白用车账号收入手机号和验证码后点击下一步提示很抱歉小白用车已停止运行,审核通过,18,2015-09-01 21:50:17
29,每次微信登入后总是出现错误提示导致运行终止,每次微信登入后总是出现错误提示导致运行终止,审核通过,15,2015-09-01 21:52:25
30,在使用QQ登陆后出现软件不能运行的提示,在使用QQ登陆后出现软件不能运行的提示退出后重进还是提示不能运行反复3次都是如此,审核通过,15,2015-09-01 21:58:49
31,在使用QQ登陆后出现软件不能运行的提示,在使用QQ登陆后出现软件不能运行的提示退出后重进还是提示不能运行反复3次都是如此,审核通过,15,2015-09-01 21:58:53
32,注册后闪退到登录注册界面,打开APP软件手机号注册填写完手机验证码提示注册成功闪现下品牌页面后立即闪退到登录注册页面测试机型为红米2A系统为Android441,审核通过,18,2015-09-01 22:05:51
33,安装完之后用QQ登录选择品牌界面就出现停止运行,安装完之后用QQ登录选择品牌界面就出现停止运行,审核通过,13,2015-09-01 22:09:06
34,微信登录点击不弹出登录框,选择用微信方式登录时点击不弹出登录框QQ和微博登录可以弹出,审核通过,19,2015-09-01 22:14:53
35,QQ登录成功APP会卡死,通过QQ登录成功以后直接APP会卡死提示小白用车已停止运行多次尝试都出现,审核通过,15,2015-09-01 22:14:53
36,授权登陆时显示程序已停止运行尝试多次结果一样,授权登陆时显示程序已停止运行尝试多次结果一样,审核通过,8,2015-09-01 22:18:59
37,登录出现崩溃的状态自动停止运营,从微任务下载之后打开登录选择QQ登录之后出现自动停止运营用了微博微信均不可既然可以用其他方式登录也得需要登录正常哦,审核通过,19,2015-09-01 22:20:57
38,下载安装后打开软件提示软件更新选择软件更新后再次安装成功后闪退到百度微任务的任务接取界面且再次点击下载不能正常下载,打开百度微任务下载安装提示更新选择更新安装退出到百度微任务界面点击下载,审核通过,13,2015-09-01 22:37:24
39,使用QQ账号登录闪退弹出程序停止运行提示框,百度微任务下载安装选择下次提醒更新进入到登录界面选择QQ登录弹出运行停止框,审核通过,13,2015-09-01 22:37:24
40,用QQ登录软件已停止运行,就按一般的登录情况进行登录出现以上情况,审核通过,19,2015-09-01 22:49:02
41,微博无法登陆软件停止运行,打开APP用微博登录到选择品牌界面时软件停止运行,审核通过,12,2015-09-01 22:51:10
42,QQ无法登陆软件停止运行,打开APP用QQ登录到选择品牌界面时软件停止运行,审核通过,12,2015-09-01 22:51:10
43,手机注册完后无法登陆软件停止运行,打开APP手机注册完后无法登陆软件停止运行,审核通过,11,2015-09-01 22:51:10
44,点击登录在下面用QQ登录登录后等一下就会提示小白用车已停止,点击登录在下面用QQ登录登录后等一下就会提示小白用车已停止,审核通过,19,2015-09-01 23:19:19
45,打开软件登录界面闪退,打开软件尝试各种登录方式确认登录后闪退显示软件停止运行确认后退出无法登录,审核通过,12,2015-09-01 23:29:38
46,不能使用第三方账号授权登录,打开软件点击登录不管点微信QQ还是微博登录自动跳到选择车牌软件显示停止运行不能正常注册,审核通过,12,2015-09-01 23:47:36
47,用QQ方式登录会闪退,手机小米3安卓版本44当用QQ方式登录成功后在返回到主界面的过程中会闪退再次打开又需要登录结果再次登录成功后还是闪退再次进来后又是未登录状态结果始终看不到主界面,审核通过,16,2015-09-02 00:25:33
48,用QQ方式登录会闪退,手机红米Nte增强版安卓版本44当用QQ方式登录成功后在返回到主界面的过程中会闪退再次打开又需要登录结果再次登录成功后还是闪退再次进来后又是未登录状态结果始终看不到主界面,审核通过,16,2015-09-02 00:34:50
49,注册完成进入首页就卡死,用手机号注册完成进入首页直接提示软件已停止运行,审核通过,6,2015-09-02 00:35:23
50,注册没有设置密码登录需要密码,注册时候没有设置登录密码完成手机验证就注册完成登录时候又需要密码完全不知道填什么,审核通过,5,2015-09-02 00:35:23
51,已经成功注册找回密码手机接收验证码说账户不存在,用已经成功注册的手机号找回密码结果手机接收验证码说账户不存在,审核通过,3,2015-09-02 00:35:23
52,注册完成进入首页就卡死,用手机号注册完成进入首页直接提示软件已停止运行,审核通过,6,2015-09-02 00:35:27
53,注册没有设置密码登录需要密码,注册时候没有设置登录密码完成手机验证就注册完成登录时候又需要密码完全不知道填什么,审核通过,5,2015-09-02 00:35:27
54,已经成功注册找回密码手机接收验证码说账户不存在,用已经成功注册的手机号找回密码结果手机接收验证码说账户不存在,审核通过,3,2015-09-02 00:35:27
55,注册完登录马上闪退,下载完APP手机注册完登录马上闪退进入不了首页,审核通过,16,2015-09-02 04:17:18
56,使用手机号注册填写验证码后程序百分百崩溃,使用手机号注册填写验证码后程序百分百崩溃,审核通过,15,2015-09-02 07:08:47
57,使用QQ授权登陆登陆后程序百分百崩溃,使用QQ授权登陆登陆后程序百分百崩溃,审核通过,11,2015-09-02 07:08:47
58,手机注册填写验证码后黑屏过几秒后提示停止运行,手机注册填写验证码后黑屏过几秒后提示停止运行,审核通过,15,2015-09-02 07:20:45
59,无法完成注册闪退,无法完成注册闪退表现为输入验证码填写下一步就提示停止工作了机型小米2系统444注册号电信,审核通过,6,2015-09-02 07:21:18
60,注册时填写验证码登陆后闪退,注册时填写验证码登陆后闪退显示该app停止运行,审核通过,1,2015-09-02 07:53:55
61,无法注册无法登录直接停止运行,用微信QQ微博一键注册时停止运行手机号注册时验证码能接收到只要一提交就停止运行,审核通过,18,2015-09-02 08:13:48
62,选择新浪微博登陆无法登陆显示错误,打开软件选择新浪微博登陆显示错误,审核通过,7,2015-09-02 08:48:39
63,当我运用qq授权登录时闪退,当我运用qq授权登录时已经授权成功跳转页面后闪退出来手机注册登录也是同样问题,审核通过,19,2015-09-02 09:33:16
64,无法登陆小白用车,安装下载打开用微信登陆的时候马上就会停止运行,审核通过,14,2015-09-02 09:35:41
65,无法登陆小白用车,安装下载打开用QQ登陆的时候马上就会停止运行,审核通过,14,2015-09-02 09:35:41
66,不能注册小白用车,安装下载打开点击注册等收到验证码输入确定的时候的时候马上就会停止运行,审核通过,18,2015-09-02 09:35:41
67,登录但界面卡死显示已停止运行,小米4电信版点击登录选择微信登录确认授权后程序卡死显示已停止运行关机重启再次尝试依然如此,审核通过,19,2015-09-02 09:49:55
68,在使用QQ登录的时候系统提示很抱歉小白用车已停止运行,在使用QQ登录的时候系统提示很抱歉小白用车已停止运行然后回到登录界面用手机号注册也同样出现这个问题,审核通过,19,2015-09-02 10:00:40
69,注册后页面转换即会出现错误提示框看截图,注册后页面转换即会出现错误提示框看截图,审核通过,17,2015-09-02 11:13:52
70,点击登录使用qq登录当自动授权成功后自动退出该app用短信注册也无法进入app导致无法使用该app,小米24111点击进入app2点击底部的登录按钮3选择qq登录方式搜索到已登录qq进行授权登录闪现定位右上角有跳过字样页面后自动退出app,审核通过,16,2015-09-02 11:20:10
71,注册或微信登陆之后页面转换即会出现错误提示框,注册或微信登陆之后页面转换即会出现错误提示框看截图,审核通过,17,2015-09-02 11:21:08
72,注册或用QQ或微信账号登录进入后直接停止运行,打开注册填写手机号填写验证码登录停止运行返回登录界面打开QQ登录停止运行返回登录界面,审核通过,19,2015-09-02 11:29:00
73,登录就停止运行注册也停止运行,微信QQ微博第三方登录都停止运行注册收到验证码提交也停止运行,审核通过,18,2015-09-02 11:29:36
74,点击登陆输入账号登陆后就闪退,打开小白用车软件点击登陆输入账号密码登陆然后提示小白用车已经停止运行微信登陆跟QQ登陆都是这样,审核通过,14,2015-09-02 12:18:34
75,打开APP登陆出现闪退现象,打开APP出现登陆界面用QQ登陆出现闪退无法登录登陆3次均不成功,审核通过,17,2015-09-02 12:35:53
76,注册完后弹出停止运行的字体无法进行下一步,注册完后进行下一步时无法进行自动弹出停止运行字幕,审核通过,18,2015-09-02 12:47:00
77,使用手机号注册点击下一步出现闪退用微博账号登陆没有反应,首先用微博账号登陆没有反应不会跳转到其他页面也没有任何提示用手机号码注册获取到验证码之后点击下一步出现闪退,审核通过,9,2015-09-02 13:31:44
78,下载安装后打开软件一打开就提示新版本更新点击悬浮球后退更新提示窗口没了但页面也卡住了无法正常进入软件,下载安装后打开软件一打开就提示新版本更新点击悬浮球后退更新提示窗口没了但页面也卡住了无法正常进入软件跳转不到所谓的登录页,审核通过,13,2015-09-02 14:15:57
79,用微信账号登录未进入应用首页即报应用停止之类的错误导致无法进入首页,安装app打开进入登录页点击登录进入输入账号密码页选择下方的微信登录微信授权授权成功页面跳转即报应用停止的错误无法进入首页,审核通过,16,2015-09-02 15:15:01
80,登入闪退自动停止运行,用QQ号码登入后自动停止运行多次无果,审核通过,15,2015-09-02 15:22:11
81,微信授权后在选择车型页面停止运行,打开选择微信登陆授权选择车型页面显示停止运行,审核通过,4,2015-09-02 15:22:47
82,注册不了用微信qq都登陆不了,有手机注册微信qq登陆都是运行中止,审核通过,11,2015-09-02 15:35:41
83,用微信或QQ账号快捷登录时显示程序出错闪退,打开软件后到了注册登录界面我选择了QQ微信快捷登录授权通过后软件就显示出错闪退了无法成功登录我的手机是小米4移动版系统是MIUI7开发版,审核通过,19,2015-09-02 15:35:49
84,新注册账号登录无法接受到验证码,打开软件后到了注册登录界面我选择了手机注册登录填写正确的手机号码后点击发送验证码但是却无法收到验证码故无法正常注册登录我的手机是小米4移动版系统是MIUI7开发版,审核通过,19,2015-09-02 15:35:49
85,安装后登陆过程中无限制的闪退,在根据提示的安装过程中安装缓慢然后就是再登陆过程中出现不停的闪退现象,审核通过,17,2015-09-02 15:47:03
86,使用微信登陆时停止运行,使用微信登陆可以跳转认证认证完成后再跳转至本应用时退出,审核通过,14,2015-09-02 15:53:50
87,微博登陆无法正常登陆,使用微博登陆时可以跳转验证但验证后返回本应用一直处于登陆界面无法登陆,审核通过,14,2015-09-02 15:53:50
88,注册时退出运行无法注册,注册时收到验证码后点击下一步程序退出无法正常注册,审核通过,18,2015-09-02 15:53:50
89,用QQ授权登陆该软件软件闪退,打开软件→点击QQ登陆→授权登陆接着就闪退,审核通过,11,2015-09-02 15:55:21
90,用QQ授权登陆登陆后程序就停止运行,用QQ授权登陆登陆进去后程序就停止运行并返回等登陆界面手机华为荣耀4X电信版系统版本号EMUI30,审核通过,11,2015-09-02 16:13:40
91,用微博账号授权登陆授权登陆后没反应有回到账号登陆界面,用微博账号授权登陆授权登陆后没反应有回到账号登陆界面手机华为荣耀4X电信版系统版本号EMUI30,审核通过,9,2015-09-02 16:13:40
92,用QQ授权登陆登陆后程序就停止运行,用QQ授权登陆登陆进去后程序就停止运行并返回等登陆界面手机华为荣耀4X电信版系统版本号EMUI30,审核通过,11,2015-09-02 16:13:50
93,用微博账号授权登陆授权登陆后没反应有回到账号登陆界面,用微博账号授权登陆授权登陆后没反应有回到账号登陆界面手机华为荣耀4X电信版系统版本号EMUI30,审核通过,9,2015-09-02 16:13:50
94,微信登录不成功点微信登录界面的确认登录后显示停止运行,微信登录不成功点微信登录界面的确认登录后显示停止运联想A880,审核通过,19,2015-09-02 16:55:22
95,每次登录都是闪退没有进入首页,每次登录都是闪退没有进入首页无法正常运行,审核通过,16,2015-09-02 17:00:26
96,每次登录都是闪退没有进入首页,每次登录都是闪退没有进入首页无法正常运行,审核通过,16,2015-09-02 17:00:30
97,注册后无法继续停止运行了,注册后无法继续停止运行了,审核通过,2,2015-09-02 17:32:07
98,登陆时提示闪退无法登陆,注册后登陆时就闪退提示小白用车已停止,审核通过,14,2015-09-02 17:58:36
99,无法登录手机型号华为荣耀6系统h60l01,无法登录app手机型号华为荣耀6系统h60l01,审核通过,19,2015-09-02 18:05:58
100,注册后登陆不了闪退啊,注册后无法登陆提示小白用车已停止然后就没有然后了,审核通过,14,2015-09-02 18:15:46
101,安装成功后无法登陆出现闪退形象,安装成功后无法登陆出现闪退形象手机华为荣耀6系统442,审核通过,17,2015-09-02 18:19:37
102,采用第三方软件登入时软件闪退,APP采用采用第三方软件登入时软件闪退停止运行应该是BUG,审核通过,12,2015-09-02 18:34:49
103,登录界面程序运行停止自己退出,登录界面后程序运行停止自己退出再次登录情况相同,审核通过,19,2015-09-02 18:35:54
104,在注册页面输入手机号码和收到的手机验证码点击下一步弹出小白用车已停止提示框闪退,在注册页面输入手机号码和收到的手机验证码点击下一步弹出小白用车已停止提示框闪退,审核通过,18,2015-09-02 19:59:25
105,快捷登录问题用QQ快捷登录出现程序停止运行,快捷登录问题用QQ快捷登录出现程序停止运行微信登录也是一样,审核通过,19,2015-09-02 22:03:05
106,用微信登陆显示应用停止运行,因为要登陆就选择了微信登录然后按确认登陆后就显示小白用车已停止运行再试了几次还是这样,审核通过,8,2015-09-02 22:18:29
107,进不去首页在登录遇到困难程序停止运行,手机注册填写完验证码点击下一步时出现如图所示的停止运行提示重新打开应用选择用微博登录同样如此华为荣耀6手机网络正常,审核通过,19,2015-09-02 22:49:43
108,安装成功之后用微信进入授权成功之后却出现闪退现象试了两次都是这样,安装成功之后用微信进入授权成功之后却出现闪退现象试了两次都是这样,审核通过,17,2015-09-02 23:07:18
109,无法注册注册的时候又自动返回到登录页面,无法注册登录就我描述的BUG截图大致是这样的当我获取完手机验证码并且输入进入下一步后进入选车环节但是进入选车环节之后1秒又返回到原始的登录注册页面无法进入应用内部并且用QQ号登录也是这样,审核通过,16,2015-09-03 00:03:02
110,无法登陆打开app显示登陆与注册进入登陆qq登陆和微博登陆就能进入授权页面而微信登陆却无任何反应明明安装了微信软件所以这是bug,打开小白用车app显示登陆和注册页面点击登陆点击微信页面未有反应,审核通过,4,2015-09-03 00:59:21
111,注册后登陆进入app在圈子里随机收藏几个话题点击发布几个话题后进入我可以发现中间栏的我的话题和我的收藏没有刷新一直显示发布和收藏前的数值状态各点击进去却是正常的这是交互bug,登陆进入app各在和圈子发布话题和收藏话题点击我发现我的话题和我的收藏数值状态未发生改变而里面确实正常的,审核通过,1,2015-09-03 00:59:21
112,打开app点击登陆使用QQ登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面这是无法登陆的BUG,打开app点击登陆使用QQ登陆进入了授权页面授权后先进入选择车型还没反应过来就弹跳到了初次登陆注册页面,审核通过,4,2015-09-03 00:59:21
113,打开app点击登陆使用微博登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面这是无法登陆的BUG,打开app点击登陆使用微博登陆进入了授权页面授权后先进入选择车型还没反应过来就弹跳到了初次登陆注册页面,审核通过,4,2015-09-03 00:59:21
114,注册登陆app后点击其中的一键估车功能进去后填写车辆估价信息点击其中请选择车型会停顿一会然后突然就跳出到前一个功能页面重新选择一键估车在继续还是一样闪退无法继续填写这是个BUG,注册登陆app点击一键估车功能进去后填写车辆估价信息点击其中请选择车型发生闪退回到前一个功能页面,审核通过,2,2015-09-03 00:59:21
115,在前一个bug的基础上也就是进入一键估车在点击请选择车型后会闪退到前一个功能页面这个时候可以发现其他功如一键救援限行查询等都可以正常进入填写提交唯独点击违章查询后会闪退到应用首页无法进行违查询章插不管重复都少便都不能除非重新启动应用,点击一键估车功能进去后填写车辆估价信息点击其中请选择车型发生闪退回到前一个功能页面点击违章查询发生闪退回到应用首页这也是个BUG,审核通过,2,2015-09-03 00:59:21
116,在以上BUG基础上又连续发生闪退当点击一键估车里面的请选择车型闪退到前一个页面后退出到应用首页这个时候其他功能都可以使用唯独点击用车页面上的马上评测出现严重BUG应用直接退出了bugbugbug,点击一键估车功能进去后填写车辆估价信息点击其中请选择车型发生闪退回到前一个功能页面退出回到应用首页点击用车页面的马上评测应用直接退出BUG啊BUG,审核通过,10,2015-09-03 00:59:21
117,第三方登陆停止运行的错误,选择微信登陆QQ登陆微博登陆都会弹出已停止运行的错误,审核通过,7,2015-09-03 07:54:26
118,微博登陆不能登陆,安装完选择登陆使用微博登陆不能登陆成功,审核通过,14,2015-09-03 13:25:31
119,打开app点击登陆使用QQ和微博登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面,打开app点击登陆使用QQ登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面这是无法登陆的BUG,审核通过,4,2015-09-03 14:35:54
120,无法登陆打开app显示登陆与注册进入登陆qq登陆和微博登陆就能进入授权页面而微信登陆却无任何反应,无法登陆打开app显示登陆与注册进入登陆点击微信登陆却无任何反应其他两个却可以,审核通过,4,2015-09-03 14:35:54
121,打开app点击登陆使用QQ和微博登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面,打开app点击登陆使用QQ登陆进入了授权页面授权后会发生无法登陆的问题先进入选择车型还没反应过来就弹跳到了初次登陆注册页面这是无法登陆的BUG,审核通过,4,2015-09-03 14:35:54
122,无法登陆打开app显示登陆与注册进入登陆qq登陆和微博登陆就能进入授权页面而微信登陆却无任何反应,无法登陆打开app显示登陆与注册进入登陆点击微信登陆却无任何反应其他两个却可以,审核通过,4,2015-09-03 14:35:54
123,在圈子里随机收藏几个话题点击发布几个话题后进入我可以发现中间栏的我的话题和我的收藏没有刷新一直显示发布和收藏前的状态里面的是正常的,注册后登陆进入app在圈子里随机收藏几个话题点击发布几个话题后进入我可以发现中间栏的我的话题和我的收藏没有刷新一直显示发布和收藏前的数值状态各点击进去却是正常的这是交互bug,审核通过,1,2015-09-03 14:35:54
124,在圈子里随机收藏几个话题点击发布几个话题后进入我可以发现中间栏的我的话题和我的收藏没有刷新一直显示发布和收藏前的状态里面的是正常的,注册后登陆进入app在圈子里随机收藏几个话题点击发布几个话题后进入我可以发现中间栏的我的话题和我的收藏没有刷新一直显示发布和收藏前的数值状态各点击进去却是正常的这是交互bug,审核通过,1,2015-09-03 14:35:54
125,点击其中的一键估车功能进去后填写车辆估价信息点击其中请选择车型会停顿一会然后突然就跳出到前一个功能页面重新选择一键估车在继续还是一样闪退无法继续填写,注册登陆app后点击其中的一键估车功能进去后填写车辆估价信息点击其中请选择车型会停顿一会然后突然就跳出到前一个功能页面重新选择一键估车在继续还是一样闪退无法继续填写这是个BUG,审核通过,2,2015-09-03 14:35:54
126,点击其中的一键估车功能进去后填写车辆估价信息点击其中请选择车型会停顿一会然后突然就跳出到前一个功能页面重新选择一键估车在继续还是一样闪退无法继续填写,注册登陆app后点击其中的一键估车功能进去后填写车辆估价信息点击其中请选择车型会停顿一会然后突然就跳出到前一个功能页面重新选择一键估车在继续还是一样闪退无法继续填写这是个BUG,审核通过,2,2015-09-03 14:35:54
127,当点击一键估车里面的请选择车型闪退到前一个页面后退出到应用首页这个时候其他功能都可以使用唯独点击用车页面上的马上评测出现严重BUG应用直接退出了,当点击一键估车里面的请选择车型闪退到前一个页面后退出到应用首页这个时候其他功能都可以使用唯独点击用车页面上的马上评测出现严重BUG应用直接退出了,审核通过,10,2015-09-03 14:35:54
128,当点击一键估车里面的请选择车型闪退到前一个页面后退出到应用首页这个时候其他功能都可以使用唯独点击用车页面上的马上评测出现严重BUG应用直接退出了,当点击一键估车里面的请选择车型闪退到前一个页面后退出到应用首页这个时候其他功能都可以使用唯独点击用车页面上的马上评测出现严重BUG应用直接退出了,审核通过,10,2015-09-03 14:35:54
129,不能正常登陆我使用的是微信账号登陆,可以正常打开登陆的页面我使用的是微信账号登陆不能正常登陆提示很抱歉小白用车已停止运行,审核通过,14,2015-09-03 15:47:31
130,根据任务下载APP打开后停止运行了,首先打开测试的界面然后下载APP打开APP测试打开后提示停止运行,审核通过,13,2015-09-03 22:30:53
131,无法用微博账号登陆输入账号并点击授权后回到登陆输入账号页面,打开app后登陆方式选择微博登陆输入账号后回到软件输入账号登陆页面,审核通过,9,2015-09-04 20:19:27
132,第一次评测时不提示输入里程数要第二次点击评测时才会要求输入,首次登录点击评测待评测完成后再次点击马上评测检查两次的弹出窗口,审核通过,10,2015-09-05 11:13:37
133,第一次评测时维保里提示行驶至0公里时需要进行保养而提示保养时间是我得购车日期,登录选了车品牌后点击马上评测输入购车日期后点确定之后检查维保信息中的提示,审核通过,10,2015-09-05 11:13:37
134,保养维修保险等输入界面的返回按钮功能有错会给用户造成困扰,在首页点击比如油耗的部分会进入包括了保养维修等的输入界面在左上角有一个左箭头的返回按钮但点击后却未返回首页而是进入了一个统计页面再次点击左上角的箭头符号才会返回到首页,审核通过,16,2015-09-05 11:13:37
135,输入的购车日期是今年2015在维修等的统计页面中却可以选择到2010年,登录后选择了购车日期2015点击首页中油耗部分点击左上角返回按钮点击右上角的2015字样检查可以选择的年份,审核通过,16,2015-09-05 11:13:37
136,点击首页下方的油耗或者费用信息并未进入对应的输入页面默认进入维修页面而不是对应的油耗等页面,进入首页点击下方的油耗或者费用信息检查跳转后的页面的项目类别,审核通过,10,2015-09-05 11:13:37
137,选择使用微博登录中出错,选择使用新浪微博登录在输入帐号密码的时候提示出错,审核通过,5,2015-09-05 21:12:34
138,选择使用微博登录授权后返回登录界面,前次输入帐号密码出错后再次使用新浪微博登录授权后返回登录界面,审核通过,5,2015-09-05 21:12:34
139,选择使用微博登录中出错,选择使用新浪微博登录在输入帐号密码的时候提示出错,审核通过,5,2015-09-05 21:12:36
140,选择使用微博登录授权后返回登录界面,前次输入帐号密码出错后再次使用新浪微博登录授权后返回登录界面,审核通过,5,2015-09-05 21:12:36
141,安装完成进入后又卡顿现象发生具体表现为点击屏幕要等待大概10S的样子才会有反应,安装完成进入后又卡顿现象发生具体表现为点击屏幕要等待大概10S的样子才会有反应,审核通过,17,2015-09-05 22:17:40
142,点击进入我点击当前版本右边的没有任何反应,1点击我2点击当前版本右边的错误结果没有任何提示,审核通过,9,2015-09-06 12:36:59
